ghcnd_id,wban,name,lat,lon,elev_m,tmax_start,tmin_start,first_complete_month,first_test_season,short_record,role
USW00013874,13874,Hartsfield-Jackson International,33.6297,-84.4422,308.2,1930,1930,,1981,False,cme
USW00014739,14739,Logan International,42.3606,-71.0097,3.4,1936,1936,,1981,False,cme
USW00023152,23152,Burbank-Glendale-Pasadena,34.1997,-118.3656,222.8,1998,1998,,2018,True,cme
USW00094846,94846,O'Hare International,41.9603,-87.9317,204.8,1958,1958,,1981,False,cme
USW00093814,93814,Cincinnati/Northern Kentucky International,39.0444,-84.6725,262.4,1948,1948,,1981,False,cme
USW00003927,03927,Dallas-Fort Worth International,32.8975,-97.0219,165.8,1953,1953,,1981,False,cme
USW00012960,12960,George Bush Intercontinental,29.9844,-95.3608,27.4,1969,1969,,1989,False,cme
USW00023169,23169,McCarran International,36.0719,-115.1633,662.9,1948,1948,,1981,False,cme
USW00014922,14922,Minneapolis-St. Paul International,44.8853,-93.2314,254.5,1938,1938,,1981,False,cme
USW00014732,14732,LaGuardia,40.7794,-73.8803,3.0,1939,1939,,1981,False,cme
USW00013739,13739,Philadelphia International,39.8733,-75.2269,2.1,1940,1940,,1981,False,cme
USW00024229,24229,Portland International,45.5958,-122.6092,6.7,1938,1938,,1981,False,cme
USW00023232,23232,Sacramento Executive,38.5067,-121.4961,5.8,1941,1941,,1981,False,cme
USW00014942,14942,OMAHA EPPLEY AIRFIELD,41.3119,-95.9019,298.7,1948,1948,,1981,False,nebraska
USW00014939,14939,LINCOLN AP,40.8478,-96.7647,356.6,1948,1948,,1981,False,nebraska
USW00014935,14935,GRAND IS CNTRL NE RGNL AP,40.9614,-98.3131,561.7,1938,1938,,1981,False,nebraska
USW00024023,24023,N PLATTE RGNL AP,41.1219,-100.6689,841.9,1948,1948,,1981,False,nebraska
USW00024028,24028,SCOTTSBLUFF W B HEILIG FLD AP,41.8747,-103.6011,1206.1,1893,1893,,1981,False,nebraska
